student_name,roll_name,Mid Sem,,End Sem,,Assignments,
,,25,25,50,50,5,25
Carmen Kassulke PhD,1910064,4,,11,,1,
Ms. Quintin Schaefer,1910058,4,,21,,5,
Deonna Rodriguez Jr.,1910065,3,,19,,3,
Chastity Farrell,1910061,12,,50,,0,
Sen. Stefan Schroeder,1910063,25,,27,,1,
Lucas Gusikowski,1910075,9,,49,,3,
Myron Welch,1910067,2,,5,,3,
Herb Johnston,1910051,8,,2,,3,
Fr. Frankie Crona,1910073,24,,31,,2,
Gov. Kristofer Carroll,1910056,22,,31,,2,
Edmundo Romaguera,1910078,10,,6,,3,
Ms. Bernardo Vandervort,1910042,10,,8,,2,
Bao Keeling,1910045,20,,15,,4,
Morgan Kuphal I,1910057,11,,48,,5,
Eleanore Casper,1910048,12,,3,,1,
Sidney Wolff,1910069,10,,23,,2,
Katelynn Kreiger III,1910053,10,,22,,1,
Man O'Connell,1910062,14,,37,,1,
Thad Kessler,1910047,5,,3,,4,
Corinna Sauer,1910059,16,,12,,1,
Gerald Adams,1910070,2,,37,,0,
Malena Hammes DDS,1910041,7,,22,,5,
Darleen Carter,1910049,25,,48,,3,
Vonnie Cartwright,1910066,0,,2,,3,
Skye Balistreri IV,1910052,9,,18,,5,
Pres. Erick Lemke,1910054,18,,17,,5,
Vivan Lindgren,1910079,7,,21,,3,
Carolina Greenfelder,1910040,20,,4,,2,
Steven Nader,1910068,11,,16,,2,
Rafael Ritchie,1910050,7,,32,,2,
Shirleen Treutel,1910077,5,,14,,1,
Wiley Block,1910044,24,,49,,0,
Norris Larson,1910071,18,,6,,2,
Jacinda Gibson DVM,1910074,23,,22,,1,
Emmett Watsica,1910076,15,,41,,2,
Mrs. Silva Yundt,1910060,12,,3,,0,
Tiffaney Champlin,1910046,8,,27,,4,
Louis Kuvalis,1910055,11,,30,,2,
Rep. Howard Baumbach,1910043,5,,44,,4,
Ming Leannon,1910072,5,,32,,0,
